row_id	locus	locus_id	parva	deviation_type	deviation_term_sa	classification	term_tokens_slp1	matched_sutra_ids	match_kind	matched_sutra_texts_slp1
NIL-001	MBh 1.1.50	P01_U01_A001_S050	adiparva	absence of sandhi	asandhi	auto	asanDi			
NIL-002	MBh 1.2.10	P01_U02_A002_S010	adiparva	elision — reduplication syllable	abhyāsa-lopa	auto	aByAsa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-003	MBh 1.3.62	P01_U03_A003_S062	adiparva	absence of the num augment	num-abhāva	auto	num	7.1.58	word	idito num DAtoH
NIL-004	MBh 1.3.66	P01_U03_A003_S066	adiparva	transfer (vyatyaya)	vyatyaya	auto	vyatyaya			
NIL-005	MBh 1.3.67	P01_U03_A003_S067	adiparva	gender — neuter	klībatva	auto	klIbatva			
NIL-006	MBh 1.3.142	P01_U03_A003_S142	adiparva	elision — initial segment	ādi-lopa	auto	Adi,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.1.187;6.2.27;6.4.48;6.4.64;6.4.98	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-007	MBh 1.24.11	P01_U05_A024_S011	adiparva	absence of the aṭ augment	aḍ-abhāva	auto	aq	1.4.1;2.1.3;2.2.38;2.3.16;2.4.12;2.4.27;3.3.142;4.1.99;4.1.140;4.2.9	substring	A kaqArAdekA saMjYA | prAk kaqArAt samAsaH | kaqArAH karmaDAraye | namaHsvastisvAhAsvaDAlamvazaqyogAcca | viBAzA vfkzamfgatfRaDAnyavyaYjanapaSuSakunyaSvavaqavapUrvAparADarottarARAm
NIL-008	MBh 1.32.24	P01_U05_A032_S024	adiparva	absence of the āṭ augment	āḍ-abhāva	hand	Aq	3.2.30;3.2.55;3.4.92;4.1.142;4.2.9;4.2.20;4.2.42;4.2.88;4.3.42;4.3.94	substring	nAqImuzwyoSca | pARiGatAqaGO Silpini | Aquttamasya picca | duzkulAqQak | vAmadevAqqyaqqyO
NIL-009	MBh 1.56.4	P01_U05_A056_S004	adiparva	elision — reduplication syllable	abhyāsa-lopa	auto	aByAsa,lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
NIL-010	MBh 1.74.117	P01_U07_A074_S117	adiparva	absence of an expected elision	lopa-abhāva	auto	lopa	1.1.60;1.3.9;3.4.97;4.1.133;5.4.146;6.4.48;6.4.64;6.4.98;7.2.90;7.2.113	word	adarSanaM lopaH | tasya lopaH | itaSca lopaH parasmEpadezu | Qaki lopaH | kakudasyAvasTAyAM lopaH
