row_id	source	work	locus	locus_id	parva	commentator	term_family	defense_term	deviation_type	deviation_term_sa	classification	agreement_n	agreement_commentators	quote
NIL-001	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.1.50	P01_U01_A001_S050	adiparva	nīlakaṇṭhaḥ	chāndasa	असीत्यत्रासन्धिप्रछान्दसः	absence of sandhi	asandhi	auto	1	nīlakaṇṭhaḥ	्रपाः कर्तन्या इत्यादिस्मृतिमूलभूता धन्वन्निव प्रपा असित्वमग्ने इत्यादयः । हे अग्ने ! त्वं धन्वन् निरुदके प्रदेशे प्रपेवलोकतृप्तिकरोसीति तदर्थः । प्रपा असीत्यत्रासन्धिप्रछान्दसः । इहेति । अनुक्रान्तमनुक्रमेणोक्तं इदमेव यथोक्तं ग्रन्थस्य लक्षणम् । विषयः प्रतिपाद्योऽर्थः ॥५०॥
NIL-002	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.2.10	P01_U02_A002_S010	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — reduplication syllable	abhyāsa-lopa	auto	1	nīlakaṇṭhaḥ	यदिति सार्धेन क्रोधः सर्वे पापायैव हीनबलेषु शस्त्रनिक्षेपादिति भावः ॥ निषिषिधुः निषिद्धवन्तः । अक्षराधिक्यमार्षम् । अभ्यासलोपो वा आर्षः । सिषिधुरिति पाठे शशासुः । हिंसातो विरमस्वेति शिक्षितवन्त इत्यर्थः ॥१०॥
NIL-003	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.3.62	P01_U03_A003_S062	adiparva	nīlakaṇṭhaḥ	chāndasa	नुमभावच्छान्दसः	absence of the num augment	num-abhāva	auto	1	nīlakaṇṭhaḥ	वहितक्रिययाप्युपसर्गाणां सम्बन्धस्मरणात् । तावश्विनौ मा मां मुञ्चतं मोचयन्तम् । अस्माच्चक्रादिति शेषः । किं भूतं मां विषदतं जन्मादिदुःखेन विषादं प्राप्नुवन्तम् । नुमभावच्छान्दसः । ततः कालोचितकर्मकरणोचिताः कालाभिमानिन्यो देवतास्तृप्यन्ति इष्टं फलं च यजमानाय प्रयच्छन्त्यन्यथा विपरीतं कुर्वन्तीति भावः ॥६२॥
NIL-004	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.3.66	P01_U03_A003_S066	adiparva	nīlakaṇṭhaḥ	chāndasa	च्छान्दसो	transfer (vyatyaya)	vyatyaya	auto	1	nīlakaṇṭhaḥ	त्तिवृधीत्यादिना दीर्घः । ऋते विना देवा वागाद्यभिमानिनोऽग्न्यादयः । तत्प्रपदे तेषां वागादिविषयाणां वचनादीनां प्रपदे प्राप्तये न सूते न सुवते न समर्था भवन्ति । सूते इति च्छान्दसो व्यत्ययः । कोह्येवान्यात्कः प्राण्यात् यदेष आकाश आनन्दो न स्यादिति श्रुतेः। न चेतनं प्रवर्तकमृते शकटवदचेतनः । सङ्घातः प्रवर्तत इति भावः । तदेवं नान्योतोस्ति द्रष्टेति च
NIL-005	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.3.67	P01_U03_A003_S067	adiparva	nīlakaṇṭhaḥ	chāndasa	छान्दसं	gender — neuter	klībatva	auto	1	nīlakaṇṭhaḥ	ेतयते नान्यस्ततश्चेतनोस्तीति तद्दूषणपूर्वकं स्वस्य चक्षुः प्रार्थयते । युवानौ मातापितरौ । अन्नात्पुरुष इति श्रुतेः । मुखेनान्नरूपं गर्भं प्रथमं लभेतां ततः एतत् एतं गर्भं छान्दसं क्लीबत्वं पुंसि रेतोरूपेण । योषिति शोणितरूपेण परिणतम् । गतासुरचेतनो देहः प्रपदेन प्रकर्षेण पद्यते सुखमनेनेति प्रपदमुपस्थेन्द्रियम् । सर्वेषामानन्दानामुपस्थ एकायनमिति श्
NIL-006	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.3.142	P01_U03_A003_S142	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — initial segment	ādi-lopa	auto	1	nīlakaṇṭhaḥ	महद्युम्नि सूर्ये तत्समीपे नागमुख्यतां प्रार्थयन् कुरुक्षेत्रेऽवसदिति पूर्वेण सम्बन्धः कुरुक्षेत्रवासमात्रादेव महत्स्थानं प्राप्यत इत्याशयः । द्युमानित्यत्रमनिच आदिलोप ́ आर्षः । अत्रायमाख्यायिकातात्पर्यार्थः । कुण्डलरत्नं वस्तुतत्त्वम् । तक्षकेणेव पाखण्डिना अपहृतं परमेश्वरप्रसादलब्धविवेकवज्रबलेन पाखण्डमतबिलमवदार्य विवेकमनुनागराजबिलतुल्यमान्तर
NIL-007	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.24.11	P01_U05_A024_S011	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	सन्तापयत समतापयत । अडभाव आर्षः । तिरोभूत एव सन्नेवं दहत्युदये तु भस्मीकरिष्यति लोकानित्याह तत इत्यादिना ॥११॥
NIL-008	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.32.24	P01_U05_A032_S024	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the āṭ augment	āḍ-abhāva	hand	1	nīlakaṇṭhaḥ	नवत्याः 'नवती: शताधिकाष्टसाहस्री । नवतीरिति बहुवचनात्साप्यनेकगुणा । ततश्चानन्तर्मुखैरित्यर्थः । नवत्यो नवतीरिति पाठे ङितामाडभाव आर्षः ॥२४॥
NIL-009	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.56.4	P01_U05_A056_S004	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — reduplication syllable	abhyāsa-lopa	auto	1	nīlakaṇṭhaḥ	विद्विषाणः द्वेषं कृतवान् । लिटः कानच् । अभ्यासलोप आर्षः। दिद्विषाण इति वा पाठः ॥४॥
NIL-010	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.74.117	P01_U07_A074_S117	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of an expected elision	lopa-abhāva	auto	1	nīlakaṇṭhaḥ	गृह्णीयामि गृह्णीयाम् इतोलोपाभाव आर्षः ॥११७॥
NIL-011	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.76.38	P01_U07_A076_S038	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absolutive suffix	ktvā / lyap	auto	1	nīlakaṇṭhaḥ	पेषःपिष्टं पिष्टीकृत्येत्यर्थः । पेषीकृत्वेति समासेऽपि क्त्वोल्यबादेशाभाव आर्षः॥३८॥
NIL-012	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.91.5	P01_U07_A091_S005	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — segment/affix	lopa	auto	1	nīlakaṇṭhaḥ	अनोकशायी शून्यागारदेवालयकुलालशालादौ गृहस्थागारभिन्ने स्थाने शयीत । ओक इति स लोप आर्षः । लघुः परिग्रहशून्यः ॥५॥
NIL-013	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.93.23	P01_U07_A093_S023	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	elision — reduplication syllable	abhyāsa-lopa	auto	1	nīlakaṇṭhaḥ	क्षरति कीर्तनात्' इत्युक्तेरश्रेयसे स्यात् प्रस्थे दत्वा विपिनं ब्राह्मणेभ्य इतिपाठे ब्राह्मणेभ्यो दत्वा विपिनं वनं प्रस्थे प्रतस्थेऽहं प्रस्थानं कृतवानस्मि । अभ्यासलोप आर्षः । मेध्यानश्वान्यदा देवेभ्यः उत्सृजति तदा देवास्तं पुण्यवन्तं भजन्तीत्यर्थः ॥२३॥
NIL-014	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.94.39	P01_U07_A094_S039	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	पलायत अडभाव आर्षः ॥३९॥
NIL-015	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.119.15	P01_U07_A119_S015	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षःविभक्तिलोपो	elision — case ending	vibhakti-lopa	auto	1	nīlakaṇṭhaḥ	वास्यावास्येन काष्ठतक्षणेन । सुपोडादेश आर्षःविभक्तिलोपो वा ॥१५॥
NIL-016	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.120.3	P01_U07_A120_S003	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	परिपालयन् अडभाव आर्षः ॥३॥
NIL-017	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.131.51	P01_U07_A131_S051	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्षः	absence of the aṭ augment	aḍ-abhāva	auto	1	nīlakaṇṭhaḥ	दिशः सन्देहयत् दिङ्मोहमजनयत् । अडभाव आर्षः शत्रन्तं वा ॥५१॥
NIL-018	sanatana.in Nīlakaṇṭha vulgate scrape (Devanāgarī)	Mahābhārata (vulgate, Nīlakaṇṭha recension)	MBh 1.155.12	P01_U09_A155_S012	adiparva	nīlakaṇṭhaḥ	ārṣa	आर्ष	iṭ augment	iṭ	auto	1	nīlakaṇṭhaḥ	वहिष्यामि प्रापयिष्यामि आर्ष इट् प्रवक्ष्यामीति पाठेऽपिवहेरेव रूपम् । गतिं गम्यं देशम् ॥१२॥
