hit_id	locus	parva	term_family	defense_term	reject_reason	reject_note	quote
P01_U05_A013_S029#0@229	MBh 1.13.29	adiparva	ārṣa	आर्षः	arsa_marriage_type	Quotes Āśvalāyana's list of marriage rites: 'gomithunaṃ datvopayacchheta sa ārṣaḥ'. Nīlakaṇṭha is distinguishing the daiva from the ārṣa wedding, not licensing a form.	तपसा जीर्यमाणशरीरत्वं विवक्षितम् । तादृशोऽहं सदृशीमेव भार्यां स्वीकरिष्यामि । 'बन्धुर्मिर्दित्सितामिति ऋत्विजे वितते कर्मणि दद्यादलंकृत्य स दैवो गोमिथुनं दत्वोपयच्छेत स आर्षः' इत्यार्त्विज्य गोमिथुनपूर्वयोर्दैवार्षयोर्विवाहयोर्व्यावृत्तिर्दर्शिता । भैक्ष्यवदिति तस्या ब्राह्मप्राजापत्यविधिना अलंकृताया अनलंकृताया वा लाभेऽपि अन्नवस्त्रादिना भरण
P01_U07_A077_S018#0@0	MBh 1.77.18	adiparva	ārṣa	आर्षम्	arsa_lexical_gloss	ārṣam glossed ṛṣi-praṇītam 'composed by the ṛṣis' — a gloss of the verse's own word, in a passage about the marriage of siblings.	आर्षम् ऋषिप्रणीतं सोदरयोरविवाहं कामतः शप्तोऽस्मि न धर्मतः ॥१८॥
P01_U07_A102_S015#0@0	MBh 1.102.15	adiparva	ārṣa	आर्षं	arsa_marriage_type	ārṣaṃ vidhim listed among 'ete 'ṣṭau vivāhāḥ' — the eight marriage rites, with the rākṣasa as the eighth.	आर्षं विधिं यज्ञं तेन दैव उक्तः एतेऽष्टौ विवाहाः प्राग्व्याख्याताः । अष्टमं राक्षसं विवाहम् ॥१५॥
P01_U07_A113_S012#0@11	MBh 1.113.12	adiparva	ārṣa	आर्षेऽपि	arsa_marriage_type	'ārṣe 'pi vivāhe' — the bride-price of a cow-pair prescribed in the ārṣa wedding.	धर्म एषः । आर्षेऽपि विवाहे कन्याशुल्कत्वेन गोमिथुनग्रहस्य विधानात् । तथा च शिष्टादृतत्वादयमपि धर्मः स्वयंभुवा वेदेनैवोक्त इत्यवसेयम् । एतेन विगीतोपि कुलाचारो न त्याज्य इत्युक्तम् ॥१२॥
P01_U07_A118_S001#0@35	MBh 1.118.1	adiparva	ārṣa	आर्षः	arsa_lexical_gloss	ārṣaḥ = ṛṣi-prasāda-hetukaḥ 'caused by a ṛṣi's favour' — glossing the birth of the hundred sons, no grammatical operation in sight.	अष्टदशाधिकशततमः अध्यायः कथित इति । आर्षः ऋषिप्रसादहेतुकः । अमनुष्यो मनुष्येष्वदृष्टः । युगपद्बहूनां जननात् ॥१॥
P03_U03_A031_S008#0@0	MBh 3.31.8	vanaparva	ārṣa	आर्षम्	arsa_lexical_gloss	ārṣam = 'the ṛṣis, the mantras, or their seers Manu and the rest' — a dharma-source gloss.	आर्षम् ऋषयो मन्त्रास्तद्द्रष्टारो मन्वादयो वा धर्ममूलभूतं मन्त्रजातं वा मन्वादिवाक्यं वेत्यर्थः । अर्थे वेति पाठे फले विषये इत्यर्थः। दुर्बलात्मनः विवेकाक्षमचित्तस्य अपेयात्
P03_U07_A091_S024#0@90	MBh 3.91.24	vanaparva	ārṣa	आर्षेण	arsa_lexical_gloss	ārṣeṇa abheda-darśanena 'by the ṛṣi-like vision of non-difference' — an instrumental of manner, glossing Karṇa's identification with Indra.	अपहरिष्यामि कवचकुण्डलापहरणे इन्द्रेण कृते सति तदपि इन्द्रस्यान्तः प्रविश्य सम्पादयिष्यामि आर्षेण अभेददर्शनेन अहं मनुरभवमित्यादिवदहमेवेन्द्ररूपी करिष्यामीति ॥२४॥
P05_U05_A070_S007#0@225	MBh 5.70.7	udyogaparva	ārṣa	आर्षं	arsa_lexical_gloss	THE FALSE POSITIVE OF THE AUTOMATIC PASS. 'ārṣaṃ vedas tena bhātīty ārṣabha' — ārṣam is being glossed as 'the Veda', and ārṣabha 'illumined by the Veda' derived from it. The 'svārthe taddhitaḥ' two characters upstream, which is what triggered the rule, belongs to the PREVIOUS derivation (sattvataḥ > sātvataḥ) and has nothing to do with the ārṣa. The one case in 165 where a genuine grammatical term stands next to a non-grammatical ārṣa; no rule distinguishes them, only reading the sentence does.	इति स्मृतो मत्वर्थीयस्तप्प्रत्ययो बाहुलकात् सत्वशब्दादपि बोध्यः अत्र सत्वेन अत्याज्यः सत्वं च यस्य अत्याज्यं स सत्वतः सत्वत एव सात्वतः- राक्षसवायसादिवत्स्वार्थे तद्धितः- आर्षं वेदस्तेन भातीत्यार्षभ औपनिषदः पुरुषः उपनिषद्वेद्यत्वाद्योगात् वृषभेक्षणः । तथा चायं योगः वृषं धर्मं भासयतीति वृषभो वेदस्तदेव ईक्षणं चक्षुरिव ज्ञापकं यस्य सः वृषभेक्षण इ
P12_U01_A012_S017#0@0	MBh 12.12.17	shantiparva	ārṣa	आर्षः	arsa_lexical_gloss	The whole ṭīkā is 'ārṣaḥ ṛṣīṇāṃ hitaḥ' — glossing the verse's own ārṣo vidhiḥ as 'the rule beneficial to ṛṣis'.	आर्षः ऋषीणां हितः ॥१७॥
P12_U02_A132_S017#0@0	MBh 12.132.17	shantiparva	ārṣa	आर्षं	arsa_lexical_gloss	The ṭīkā is the two characters 'ārṣaṃ -' and stops: a truncated lemma-gloss of the verse's ārṣam ('scriptural precedent'), not a licence. Truncation is in the source, not in the scrape.	आर्षं -
