locus	commentator	defense_term	term_family	deviation_type	quote_window
BhG 4.24	baladevaḥ	chāndasaḥ	chāndasa	elision (lopa)	api brahmaiva | tac ca havir homādhāre 'gnau brahmaṇi yajamānenādhvaryuṇā ca brahmaṇā hutaṃ tyaktaṃ prakṣiptaṃ ca | agnir yajamāno 'dhvaryuś ca brahmaivety arthaḥ | brahmāgnāv ity atra ṇi-kāra-lopaś chāndasaḥ | na ca samastaṃ padam iti vācyam | agnau brahma-dṛṣṭer vidheyatvād itthaṃ ca brahma-rūpe sāṅge karmaṇi samādh
BhG 6.25	madhusūdanaḥ	cchāndasaṃ	chāndasa	vowel lengthening	t | nānudhyāyād bahūn śabdān vāco viglāpanaṃ hi tat [BAU 4.4.21] iti śruteḥ | vāg-vṛtti-nirodhena mano-vṛtti-mātra-śeṣo bhaved ity arthaḥ | cakṣur-ādi-nirodho 'py etasyāṃ bhūmau draṣṭavyaḥ | manasīti cchāndasaṃ dairghyam | tan manaḥ karmedriya-jñānendriya-sahakāri nana-vidha-vikalpa-sādhanaṃ karaṇaṃ jñāne jānātīti jñān
BhG 6.39	baladevaḥ	ārṣam	ārṣa	gender (neuter)	sambhavati tasmāt tvam eva pratyakṣa-darśī sarvasya parama-guruḥ saṃśayam etaṃ mama cchettum arhasīty arthaḥ ||39|| viśvanāthaḥ : etad etam ||39|| baladevaḥ : etad iti klībtvam ārṣam | tvad iti sarveśvarāt sarvajñatvatto 'nyo 'nīśvaro 'lpajñaḥ kaścid ṛṣiḥ ||39|| BhG 6.40
BhG 9.3	baladevaḥ	ārṣī	ārṣa	case (genitive for the expected case)	ṇa-prabandhena nāraki-tiryag-ādi-yoniṣv eva bhramantīty arthaḥ ||3|| viśvanāthaḥ --- nanv evam asyātisukha-karatve sati ko nāma saṃsārī syāt | tatrāha aśraddadhānā iti | asyeti karmaṇi ṣaṣṭhī ārṣī | imaṃ dharmam aśraddadhānāḥ śāstra-vākyaiḥ pratipāditaṃ bhakteḥ sarvotkarṣaṃ stuty-artha-vādam eva manyamānā āstik
BhG 10.24	viśvanāthaḥ	ārṣam	ārṣa	unclassified	| senānīnām senāpatīnāṃ madhye deva-senāpatiḥ skando guho 'ham asmi | sarasām deva-khāta-jalāśayānāṃ madhye sāgaraḥ sagara-putraiḥ khāto jalāśayo 'ham asmi ||24|| viśvanāthaḥ : senānīnām ity ārṣam | skandhaḥ kārtikeyaḥ ||24|| baladevaḥ : indrasya sarva-rāja-mukhyatvāt tat-purohitaṃ bṛhaspatiṃ sarva-pat
BhG 10.24	baladevaḥ	ārṣaḥ	ārṣa	augment	ndhaḥ kārtikeyaḥ ||24|| baladevaḥ : indrasya sarva-rāja-mukhyatvāt tat-purohitaṃ bṛhaspatiṃ sarva-patiṃ rāja-purohitānāṃ mukhyaṃ māṃ viddhīti so 'ham ity arthaḥ | senānīnām iti nuḍāgamanas tv ārṣaḥ | sarva-rāja-senānāṃ madhye skandaḥ kārttikeyo 'ham | sarasām sthira-jalānāṃ madhye sāgaro 'ham ||24||
BhG 10.29	baladevaḥ	ārṣaḥ	ārṣa	unclassified	nāgānām aneka-śirasāṃ madhye 'nantaḥ śeṣo 'ham | yādasām jala-jantūnām adhipo varuṇo 'ham | pitṝṇām rājāryamākhyaḥ pitṛ-devo 'ham | saṃyamatām daṇḍayatāṃ madhye nyāya-daṇḍa-kṛt yamo 'haṃ chādeśābhāva ārṣaḥ ||29|| BhG 10.30 prahlādaś cāsmi daityānāṃ kālaḥ kalayatām aham | mṛgāṇā
BhG 11.8	madhusūdanaḥ	chāndas	chāndasa	unclassified	iva prākṛtena sva-cakṣuṣā svabhāva-siddhena cakṣuṣā māṃ divya-rūpaṃ draṣṭum na tu śakyase na śaknoṣi tu eva | śakyasa iti pāṭhe śakto na bhaviṣyasīty arthaḥ | sauvādikasyāpi śaknoter daivādikaḥ śyaṃś chāndas iti vā | divādau pāṭho vety eva sāpradāyikam | tarhi tvāṃ draṣṭuṃ kathaṃ śaknuyām ata āha divyam aprākṛt
BhG 11.35	viśvanāthaḥ	ārṣam	ārṣa	unclassified	mpatvādir vikāraḥ sa-gadgadas tad-yuktaṃ yathā syāt | bhīta-bhīto 'tiśayena bhītaḥ san pūrvaṃ namaskṛtya punar api praṇamyātyanta-namro bhūtvāheti sambandhaḥ ||35|| viśvanāthaḥ : namaskṛtvety ārṣam ||35|| baladevaḥ : tato yad abhūt tat saṃjaya uvāca etad iti | keśavasyaitat padya-trayātmakaṃ vacanaṃ śru
BhG 11.35	baladevaḥ	ārṣam	ārṣa	unclassified	baladevaḥ : tato yad abhūt tat saṃjaya uvāca etad iti | keśavasyaitat padya-trayātmakaṃ vacanaṃ śrutvā kirīṭī pārthaḥ vepamāno 'tyadbhutātyugra-rūpa-darśanajena sambhrameṇa sakampaḥ | namakṣṭvety ārṣam | kṛṣṇaṃ namaskṛtya, punaḥ praṇamya, bhīta-bhīto 'tibhayākulaḥ san bhūyaḥ punaar apy āha sa-gadgadaṃ gadgadena kaṇ
