
=======================================================
  CHAPTER 1  (47 verses)
=======================================================
  1.001 CACHED (27 fields)
  1.002 CACHED (27 fields)
  1.003 CACHED (27 fields)
  1.004 CACHED (27 fields)
  1.005 CACHED (27 fields)
  1.006 CACHED (27 fields)
  1.007 CACHED (27 fields)
  1.008 CACHED (27 fields)
  1.009 CACHED (27 fields)
  1.010 CACHED (27 fields)
  1.011 CACHED (27 fields)
  1.012 CACHED (27 fields)
  1.013 CACHED (27 fields)
  1.014 CACHED (27 fields)
  1.015 CACHED (27 fields)
  1.016 CACHED (27 fields)
  1.017 CACHED (27 fields)
  1.018 CACHED (27 fields)
  1.019 CACHED (27 fields)
  1.020 CACHED (27 fields)
  1.021 CACHED (27 fields)
  1.022 CACHED (27 fields)
  1.023 CACHED (27 fields)
  1.024 CACHED (27 fields)
  1.025 CACHED (27 fields)
  1.026 CACHED (27 fields)
  1.027 CACHED (27 fields)
  1.028 CACHED (27 fields)
  1.029 CACHED (27 fields)
  1.030 CACHED (27 fields)
  1.031 CACHED (27 fields)
  1.032 CACHED (27 fields)
  1.033 CACHED (27 fields)
  1.034 CACHED (27 fields)
  1.035 CACHED (27 fields)
  1.036 CACHED (27 fields)
  1.037 CACHED (27 fields)
  1.038 CACHED (27 fields)
  1.039 CACHED (27 fields)
  1.040 CACHED (27 fields)
  1.041 CACHED (27 fields)
  1.042 CACHED (27 fields)
  1.043 CACHED (27 fields)
  1.044 CACHED (27 fields)
  1.045 CACHED (27 fields)
  1.046 CACHED (27 fields)
  1.047 CACHED (27 fields)

  Chapter 1: 47 verses, 1269 field-texts

=======================================================
  CHAPTER 2  (72 verses)
=======================================================
  2.001 ... 27 fields → verse_001.json
  2.002 ... 27 fields → verse_002.json
  2.003 ... 27 fields → verse_003.json
  2.004 ... 27 fields → verse_004.json
  2.005 ... 27 fields → verse_005.json
  2.006 ... 27 fields → verse_006.json
  2.007 ... 27 fields → verse_007.json
  2.008 ... 27 fields → verse_008.json
  2.009 ... 27 fields → verse_009.json
  2.010 ... 27 fields → verse_010.json
  2.011 ... 27 fields → verse_011.json
  2.012 ... 27 fields → verse_012.json
  2.013 ... 27 fields → verse_013.json
  2.014 ... 27 fields → verse_014.json
  2.015 ... 27 fields → verse_015.json
  2.016 ... 27 fields → verse_016.json
  2.017 ... 27 fields → verse_017.json
  2.018 ... 27 fields → verse_018.json
  2.019 ... 27 fields → verse_019.json
  2.020 ... 27 fields → verse_020.json
  2.021 ... 27 fields → verse_021.json
  2.022 ... 27 fields → verse_022.json
  2.023 ... 27 fields → verse_023.json
  2.024 ... 27 fields → verse_024.json
  2.025 ... 27 fields → verse_025.json
  2.026 ... 27 fields → verse_026.json
  2.027 ... 27 fields → verse_027.json
  2.028 ... 27 fields → verse_028.json
  2.029 ... 27 fields → verse_029.json
  2.030 ... 27 fields → verse_030.json
  2.031 ... 27 fields → verse_031.json
  2.032 ... 27 fields → verse_032.json
  2.033 ... 27 fields → verse_033.json
  2.034 ... 27 fields → verse_034.json
  2.035 ... 27 fields → verse_035.json
  2.036 ... 27 fields → verse_036.json
  2.037 ... 27 fields → verse_037.json
  2.038 ... 27 fields → verse_038.json
